habitaciones;baÒos;parqueaderos;area_construida_m2;area_privada_m2;estrato;estado;antig¸edad_aÒos;administracion;precio_m2;Ascensor;Circuito cerrado de TV;Parqueadero Visitantes;Porteria/ Recepcion;Zonas Verdes;Salon Comunal;Balcon;Barra estilo americano;Calentador;Chimenea;Citofono;Cocina Integral;Terraza;Vigilancia;Parques cercanos;Estudio;Patio;Deposito / Bodega;nombre;ubicacion;precio
4;4;2;156;147;6;Excelente;16 a 30  ;†857.000 COP;†6.794.871,79  ;0;1;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;Casa;La Carolina;1060000000
3;2;1;58;53;3;No definida;mas de 30  ;†180.000 COP;†4.051.724,14  ;0;0;1;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;Apartamento;Granada Norte;235000000
3;2;1;120;120;3;Bueno;16 a 30  ;†195.000 COP;†2.750.000  ;0;1;1;0;0;1;0;0;1;0;1;1;0;0;0;0;1;0;Casa;Nuevo Techo;330000000
4;5;6;532;1440;6;Excelente;1 a 8  ;†1.355.000 COP;†4.323.308,27  ;0;1;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;Casa;Guaymaral;2300000000
3;3;2;92;92;4;No definida;No definida;†440.000 COP;†5.978.260,87  ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;Cedritos;550000000
2;2;1;80;80;6;Excelente;16 a 30  ;†890.000 COP;†7.437.500  ;1;0;0;1;0;0;0;0;1;1;1;1;0;1;0;0;0;1;Apartamento;El Virrey;595000000
12;6;1;380;0;3;No definida;1 a 8  ;No definida;†1.184.210,53  ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Casa;La andrea;450000000
3;2;1;60;60;3;Excelente;9 a 15  ;†215.000 COP;†4.833.333,33  ;1;1;0;0;0;1;1;0;1;0;1;1;0;1;0;0;0;0;Apartamento;Sotavento;290000000
5;3;2;200;0;3;No definida;16 a 30  ;No definida;†3.750.000  ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Casa;Paris gaitan;750000000
1;2;1;56;0;4;Excelente;1 a 8  ;†700.000 COP;†8.035.714,29  ;1;1;0;1;0;0;1;1;0;0;1;0;0;1;0;0;0;1;Apartamento;Chapinero Alto;450000000
1;2;2;70;105;1;Excelente;9 a 15  ;†320.000 COP;†7.857.142,86  ;1;1;1;1;0;0;0;1;0;1;1;1;0;0;0;0;0;0;Apartamento;Chico Norte;550000000
5;4;1;176;176;3;No definida;mas de 30  ;No definida;†2.443.181,82  ;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;Casa;San Andres II Sector;430000000
3;2;1;74;74;4;No definida;16 a 30  ;†285.000 COP;†4.189.189,19  ;0;1;1;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;Apartamento;Campanella;310000000
3;2;0;55;50;3;Excelente;9 a 15  ;†109.000 COP;†4.000.000  ;0;1;1;1;0;1;0;0;1;0;1;1;0;0;0;0;1;0;Apartamento;Zona Noroccidente;220000000
3;2;1;68;68;4;No definida;menor a 1 ;No definida;†5.882.352,94  ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;Alsacia;400000000
11;6;2;320;320;3;Bueno;16 a 30  ;No definida;†2.187.500  ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;Casa;Santa Rita;700000000
2;2;0;68;68;2;Excelente;menor a 1 ;No definida;†2.794.117,65  ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Casa;Bosa La Paz;190000000
3;2;1;60;60;3;Excelente;9 a 15  ;†215.000 COP;†4.833.333,33  ;1;1;0;0;0;1;1;0;1;0;1;1;0;1;0;0;0;0;Apartamento;Sotavento;290000000
3;2;0;95;9353;4;Excelente;mas de 30  ;†85.000 COP;†4.052.631,58  ;0;0;1;0;1;0;0;0;1;0;1;1;0;0;1;0;0;0;Apartamento;El Campin;385000000
3;3;1;90;90;3;Excelente;16 a 30  ;†290.000 COP;†4.833.333,33  ;0;1;1;1;0;1;0;0;1;0;1;1;0;1;0;1;0;0;Apartamento;Metropolis;435000000
2;3;2;87;85;5;Excelente;1 a 8  ;†745.000 COP;†5.511.494,25  ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;Pasadena;479500000
3;2;1;86;80;3;Excelente;1 a 8  ;No definida;†3.720.930,23  ;0;1;0;0;0;0;0;0;1;0;1;1;0;0;1;1;0;0;Apartamento;Santa Matilde;320000000
3;3;2;120;120;6;Bueno;16 a 30  ;†892.000 COP;†5.816.666,67  ;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;1;Apartamento;rosales;698000000
3;3;3;212;212;6;Bueno;mas de 30  ;†1.930.000 COP;†5.613.207,55  ;1;1;0;0;0;0;1;0;1;1;1;0;1;0;0;0;0;0;Apartamento;Chico Navarra;1190000000
4;3;2;275;275;5;Bueno;mas de 30  ;†200.000 COP;†3.490.909,09  ;0;0;0;0;1;0;0;0;1;1;0;1;0;1;0;1;0;1;Casa;Pontevedra;960000000
4;3;2;120;110;5;Excelente;16 a 30  ;†500.000 COP;†3.332.500  ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;Bella suiza;399900000
3;3;3;191;191;6;Excelente;mas de 30  ;†960.000 COP;†7.068.062,83  ;1;0;0;1;0;0;1;0;1;0;1;1;0;1;0;0;0;0;Apartamento;El Refugio;1350000000
2;2;1;59;59;3;Bueno;16 a 30  ;†278.500 COP;†4.322.033,9  ;0;1;1;1;0;1;0;0;0;0;1;1;0;1;0;0;0;0;Apartamento;Prado Pinzon;255000000
1;1;1;40;40;3;Bueno;16 a 30  ;†141.000 COP;†7.000.000  ;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;0;0;Apartamento;zona centro;280000000
2;2;2;70;61;4;No definida;menor a 1 ;†420.000 COP;†7.428.571,43  ;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;Apartamento;Pardo rubio;520000000
3;2;1;65;65;4;Excelente;9 a 15  ;†170.000 COP;†4.152.307,69  ;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;Apartamento;San Antonio Norte;269900000
